player_api_id,player_name,rating,MultipleEntries,,,,,,,,,,
30981,Lionel Messi,92.19230769,26,,,,,,,,,,
30893,Cristiano Ronaldo,91.28,25,,,,,,,,,,
30924,Franck Ribery,88.45833333,24,,,,,,,,,,
30955,Andres Iniesta,88.32,25,,,,,,,,,,
35724,Zlatan Ibrahimovic,88.28571429,21,,,,,,,,,,
30834,Arjen Robben,87.84,25,,,,,,,,,,
39854,Xavi Hernandez,87.63636364,22,,,,,,,,,,
30829,Wayne Rooney,87.22222222,36,,,,,,,,,,
30657,Iker Casillas,86.95454545,22,,,,,,,,,,
30894,Philipp Lahm,86.73333333,30,,,,,,,,,,
37459,David Silva,86.53846154,26,,,,,,,,,,
30843,Robin van Persie,86.47368421,38,,,,,,,,,,
30613,Cesc Fabregas,86.19354839,31,,,,,,,,,,
37412,Sergio Aguero,86.11428571,35,,,,,,,,,,
30661,Carles Puyol,85.88888889,18,,,,,,,,,,
27299,Manuel Neuer,85.86206897,29,,,,,,,,,,
30962,Sergio Ramos,85.78947368,19,,,,,,,,,,
38817,Carlos Tevez,85.78947368,38,,,,,,,,,,
30717,Gianluigi Buffon,85.77419355,31,,,,,,,,,,
30872,Bastian Schweinsteiger,85.65384615,26,,,,,,,,,,
27301,Marcelo Jose Bordon,85.4,5,,,,,,,,,,
40636,Luis Suarez,85.275,40,,,,,,,,,,
30859,Petr Cech,85.27272727,22,,,,,,,,,,
30865,Nemanja Vidic,85.25,28,,,,,,,,,,
34520,Fabio Cannavaro,85.16666667,6,,,,,,,,,,
36615,Yaya Toure,85.02702703,37,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Data collected: https://www.kaggle.com/datasets/hugomathien/soccer ,,,,,
